Posición,Selección,Código,Puntos Totales,Puntos Anteriores,Diferencia Puntos,Cambio Posición,Confederación
1,Francia,FRA,1877.32,1870.00,+7.32,"▲ +2",UEFA
2,España,ESP,1876.40,1877.18,-0.78,"▼ -1",UEFA
3,Argentina,ARG,1874.81,1873.33,+1.48,"▼ -1",CONMEBOL
4,Inglaterra,ENG,1825.97,1834.12,-8.15,"=",UEFA
5,Portugal,POR,1763.83,1760.38,+3.45,"▲ +1",UEFA
6,Brasil,BRA,1761.16,1760.46,+0.70,"▼ -1",CONMEBOL
7,Países Bajos,NED,1757.87,1756.27,+1.60,"=",UEFA
8,Marruecos,MAR,1755.87,1736.57,+19.30,"=",CAF
9,Bélgica,BEL,1734.71,1730.71,+4.00,"=",UEFA
10,Alemania,GER,1730.37,1724.15,+6.22,"=",UEFA
11,Croacia,CRO,1717.07,1716.88,+0.19,"=",UEFA
12,Italia,ITA,1700.37,1702.06,-1.69,"▲ +1",UEFA
13,Colombia,COL,1693.09,1701.30,-8.21,"▲ +1",CONMEBOL
14,Senegal,SEN,1688.99,1706.83,-17.84,"▼ -2",CAF
15,México,MEX,1681.03,1675.75,+5.28,"▲ +1",CONCACAF
16,EEUU,USA,1673.13,1681.88,-8.75,"▼ -1",CONCACAF
17,Uruguay,URU,1673.07,1672.62,+0.45,"=",CONMEBOL
18,Japón,JPN,1660.43,1650.12,+10.31,"▲ +1",AFC
19,Suiza,SUI,1649.40,1654.69,-5.29,"▼ -1",UEFA
20,Dinamarca,DEN,1620.81,1616.75,+4.06,"▲ +1",UEFA
21,RI de Irán,IRN,1615.30,1617.02,-1.72,"▼ -1",AFC
22,Turquía,TUR,1599.04,1582.69,+16.35,"▲ +3",UEFA
23,Ecuador,ECU,1594.78,1591.73,+3.05,"=",CONMEBOL
24,Austria,AUT,1593.45,1585.51,+7.94,"=",UEFA
25,República de Corea,KOR,1588.66,1599.45,-10.79,"▼ -3",AFC
26,Nigeria,NGA,1585.09,1581.55,+3.54,"=",CAF
27,Australia,AUS,1580.67,1574.01,+6.66,"=",AFC
28,Argelia,ALG,1564.26,1560.91,+3.35,"=",CAF
29,Egipto,EGY,1563.24,1556.71,+6.53,"▲ +2",CAF
30,Canadá,CAN,1556.48,1559.15,-2.67,"▼ -1",CONCACAF
31,Noruega,NOR,1550.94,1553.14,-2.20,"▲ +1",UEFA
32,Ucrania,UKR,1546.88,1557.47,-10.59,"▼ -2",UEFA
33,Panamá,PAN,1540.64,1539.47,+1.17,"=",CONCACAF
34,Costa de Marfil,CIV,1532.98,1522.48,+10.50,"▲ +3",CAF
35,Polonia,POL,1528.00,1532.04,-4.04,"▼ -1",UEFA
36,Rusia,RUS,1525.60,1524.52,+1.08,"=",UEFA
37,Gales,WAL,1524.29,1529.71,-5.42,"▼ -2",UEFA
38,Suecia,SWE,1514.77,1487.13,+27.64,"▲ +4",UEFA
39,Serbia,SRB,1508.65,1506.34,+2.31,"=",UEFA
40,Paraguay,PAR,1503.50,1501.50,+2.00,"=",CONMEBOL
41,Chequia,CZE,1501.38,1487.00,+14.38,"▲ +2",UEFA
42,Hungría,HUN,1500.58,1496.29,+4.29,"▼ -1",UEFA
43,Escocia,SCO,1498.35,1506.77,-8.42,"▼ -5",UEFA
44,Túnez,TUN,1483.05,1479.04,+4.01,"▲ +3",CAF
45,Camerún,CMR,1481.24,1482.39,-1.15,"=",CAF
46,RD del Congo,COD,1478.35,1468.22,+10.13,"▲ +2",CAF
